title,tags
Run Lola Run,lola receives phone run different alternative depending minor rob store Action  Drama  Thriller buena noventas corta TomTykwer FrankaPotente
Big Daddy,lazy law school grad adopts kid impress girlfriend unlikely foster Comedy  Drama buena noventas corta DennisDugan AdamSandler
The Dinner Game,pierre friend organize think champ françois pignon brings dumbest guy Comedy buena noventas corta FrancisVeber ThierryLhermitte
Arachnophobia,spider america dead deadly doctor help insect exterminator freak california Comedy  Horror buena noventas corta FrankMarshall JeffDaniels
"South Park: Bigger, Longer & Uncut",pressure united state wage war movie featuring canadian terrance philip Animation  Comedy  Music buena noventas corta TreyParker TreyParker
Wild Wild West,inventor loveless plan rekindle civil war assassinating president u thwart Action  Adventure  Comedy  Science Fiction  Western regular noventas corta BarrySonnenfeld WillSmith
American Pie,highschool party losing collective virginity isnt easy thought score senior Comedy  Romance buena noventas corta ChrisWeitz JasonBiggs
The Blair Witch Project,filmmaker disappeared wood near burkittsville maryland shooting documentary year later Horror  Mystery buena noventas corta DanielMyrick MichaelC.Williams
Eyes Wide Shut,encounter discovers wife alice admits sexual fantasy man quickly group Mystery  Drama buena noventas media StanleyKubrick TomCruise
Ghostbusters,losing academic post prestigious university team parapsychologist campaign pay knockout Comedy  Fantasy buena ochentas corta IvanReitman BillMurray
Ghostbusters II,new defeated gozer ghostbusters business dana begin ghost problem paranormal Comedy  Fantasy buena ochentas corta IvanReitman BillMurray
The Haunting,nature david marrow interested sinister mansion eerie isolated hill house Horror  Thriller  Fantasy  Mystery regular noventas corta JandeBont LiamNeeson
Deep Blue Sea,shark aquatica aquaticas increase increased cure alzheimers refueling facility susan mcalester genetically Action  Science Fiction  Thriller regular noventas corta RennyHarlin ThomasJane
Runaway Bride,ike writes subject offensive carpenter opinion time drunken man moment Comedy  Romance regular noventas corta GarryMarshall JuliaRoberts
Spartacus,historical spartacus film directed stanley kubrick based war star kirk Action  Drama  History buena sesentas larga StanleyKubrick KirkDouglas
Lolita,vulgarity american culture come stay boarding house run charlotte haze Drama  Romance buena sesentas media StanleyKubrick JamesMason
Barry Lyndon,"barry british nora century small seven year escape dublin robbed Drama  Romance  War buena setentas larga StanleyKubrick ""RyanONeal"""
The 400 Blows,antoine unsympathetic authority parisian inconsiderate adult including trouble law difficult Drama buena cincuentas corta FrançoisTruffaut Jean-PierreLéaud
Little Shop of Horrors,mushniks mushnik seymour audrey mysterious plant blood soon begin sing row Horror  Comedy  Music buena ochentas corta FrankOz RickMoranis
The Iron Giant,town rockwell maine october giant metal machine befriends nineyearold boy Adventure  Animation  Family  Fantasy  Science Fiction buena noventas corta BradBird EliMarienthal
The Sixth Sense,psychological thriller world dead child psychologist ghost people named old Mystery  Thriller  Drama buena noventas corta M.NightShyamalan BruceWillis
Airplane!,striker passenger air attempt fear pilot girlfriend food poisoning force Comedy buena ochentas corta JimAbrahams RobertHays
National Lampoon's Vacation,griswold quest walley world theme park vacation thing dont family Comedy  Adventure  Romance buena ochentas corta HaroldRamis ChevyChase
Big,boy josh baskin make wish carnival machine big wake following Fantasy  Drama  Comedy  Romance  Family buena ochentas corta PennyMarshall TomHanks
The Pelican Brief,supreme court justice assassinated law student investigative journalist want story Drama  Mystery  Thriller  Crime buena noventas media AlanJ.Pakula JuliaRoberts
A Christmas Story,mishap adventure young boy named ralph santa red ryder bb Comedy  Family buena ochentas corta BobClark MelindaDillon
Universal Soldier,soldier experience flashback forcing recall year later military war revived Thriller  Action  Science Fiction  Crime regular noventas corta RolandEmmerich Jean-ClaudeVanDamme
The 13th Warrior,viking arab courtier ahmad ibn fadlan accompanies devours combat terror Adventure  Fantasy  Action buena noventas corta JohnMcTiernan AntonioBanderas
American Beauty,lester burnham depressed suburban father midlife crisis decides turn hectic Drama buena noventas media SamMendes KevinSpacey
Blue Streak,diamond jail logan jewel thief hit big time pose lapd Action  Comedy  Crime buena noventas corta LesMayfield MartinLawrence
Deliverance,intent seeing cahulawassee river turned lake outdoor fanatic lewis american Drama  Adventure  Thriller buena setentas corta JohnBoorman JonVoight
Three Kings,group american soldier stationed iraq end gulf war map believe Action  Adventure  Comedy buena noventas corta DavidO.Russell GeorgeClooney
Boys Don't Cry,female born teena brandon adopts male identity nebraska attempt Crime  Drama buena noventas corta KimberlyPeirce HilarySwank
Total Recall,construction worker douglas quaid discovers memory chip brain virtualreality planted Action  Adventure  Science Fiction buena noventas corta PaulVerhoeven ArnoldSchwarzenegger
Ferris Bueller's Day Off,friend Comedy buena ochentas corta JohnHughes MatthewBroderick
Goldfinger,special agent sean connery come face outgun powerful obliterate world Adventure  Action  Thriller buena sesentas corta GuyHamilton SeanConnery
From Russia with Love,bond series tatiana known encounter installment wit escape klebb kronsteen Action  Thriller  Adventure buena sesentas corta TerenceYoung SeanConnery
Dr. No,bond launched megalomaniacal villain massive island encounter beautiful honey ryder Adventure  Action  Thriller buena sesentas corta TerenceYoung SeanConnery
The Blue Lagoon,cook survive idyllic tropical island emmeline left child creature nature Romance  Adventure  Drama regular ochentas corta RandalKleiser BrookeShields
A Fistful of Dollars,mexican brother miguel midst power middle longsimmering battle selling false Western buena sesentas corta SergioLeone ClintEastwood
Home Alone 2: Lost in New York,kevin wet foil plan flying room dad toy store christmas Comedy  Family  Adventure  Crime buena noventas media ChrisColumbus MacaulayCulkin
Fight Club,form forming ignites outofcontrol insomniac slippery soap salesman channel primal eccentric Drama excelente noventas media DavidFincher EdwardNorton
RoboCop,company robocop plan turn nearapocalyptic detroit evil corporation omni consumer Action  Thriller  Science Fiction buena ochentas corta PaulVerhoeven PeterWeller
RoboCop 2,ocps unit ocp robocop new cane menace living urban handle dr Action  Adventure  Crime  Science Fiction  Thriller regular noventas corta IrvinKershner PeterWeller
Who Framed Roger Rabbit,star roger raised marvin jessica playing prime hire detective eddie Fantasy  Animation  Comedy  Crime  Family buena ochentas corta RobertZemeckis BobHoskins
For Your Eyes Only,british device james bond launching instruction enemy sunk board hitech Adventure  Action  Thriller buena ochentas media JohnGlen RogerMoore
Licence to Kill,bond american felix leiter arrest drug lord sanchez succeeds revenge Adventure  Action  Thriller regular ochentas media JohnGlen TimothyDalton
Live and Let Die,james bond bos named mr case british agent new orleans Adventure  Action  Thriller buena setentas media GuyHamilton RogerMoore
Thunderball,criminal organization obtained secret service sends james bond bahamas save Adventure  Action  Thriller buena sesentas media TerenceYoung SeanConnery
Being John Malkovich,story portal anybody enters mad controlling world named jonzes debut Fantasy  Drama  Comedy buena noventas corta SpikeJonze JohnCusack
Princess Mononoke,bring balance ainu tribe cursed demonized boar way encounter san Adventure  Fantasy  Animation buena noventas media HayaoMiyazaki YōjiMatsuda
The Bone Collector,rookie cop amelia donaghy reluctantly team lincoln rhyme grim remains Drama  Mystery  Thriller  Crime buena noventas corta PhillipNoyce DenzelWashington
The Insider,tobacco true story executive jeffrey minute television series seen eye Drama  Thriller buena noventas media MichaelMann AlPacino
Falling Down,foster car estranged daughter begin psychotically violently decides owner store Crime  Drama  Thriller buena noventas corta JoelSchumacher MichaelDouglas
Spaceballs,meet starr dark helmet hatch sidekick fly master time save Comedy  Science Fiction buena ochentas corta MelBrooks MelBrooks
Robin Hood,wily robin hood band merry richard crusade prince john slithering Animation  Family buena setentas corta WolfgangReitherman BrianBedford
Trading Places,snobbish investor wily street conartist Comedy buena ochentas corta JohnLandis EddieMurphy
Dogma,battle eternal war good evil come demon apostle prophet sort Fantasy  Comedy  Adventure buena noventas media KevinSmith BenAffleck
The Messenger: The Story of Joan of Arc,god world greatest army girl remote french victory violent untimely Adventure  Drama  Action  History  War buena noventas media LucBesson MillaJovovich
Sleepy Hollow,new york detective ichabod crane investigate series mysterious death victim Drama  Fantasy  Thriller  Mystery buena noventas corta TimBurton JohnnyDepp
The World Is Not Enough,oil revenge world work protect hanging race time culminates dramatic Adventure  Action  Thriller buena noventas media MichaelApted PierceBrosnan
Scrooged,frank christmas wildly successful television reevaluate action right wrong ambition Fantasy  Comedy  Drama buena ochentas corta RichardDonner BillMurray
Bicycle Thieves,job hanging poster depressed postwwii economy forced walk street rome Drama buena cuarentas corta VittorioDeSica LambertoMaggiorani
Awakenings,awaken awakening malcolm sayer patient rare disease research sweet pleasure introverted Drama buena noventas media PennyMarshall RobertDeNiro
Backdraft,say blast flame trying stop arsonist diabolical agenda torching past Action  Crime  Drama  Mystery  Thriller buena noventas media RonHoward KurtRussell
End of Days,york city called jericho th turn decides crash end hope Action  Fantasy  Horror  Mystery regular noventas media PeterHyams ArnoldSchwarzenegger
Toy Story 2,toy al woody andys andy heart truly rescue mission buzz lightyear Animation  Comedy  Family buena noventas corta JohnLasseter TomHanks
The Green Mile,coffey coffeys help stave condemned man tale set death row southern Fantasy  Drama  Crime excelente noventas larga FrankDarabont TomHanks
Bicentennial Man,andrew robot martin family appliance programmed perform man follows emotion Comedy  Science Fiction buena noventas media ChrisColumbus RobinWilliams
Stuart Little,human heroic debonair stalwart mouse named family misadventure searching lost Animation  Fantasy  Family  Comedy regular noventas corta RobMinkoff MichaelJ.Fox
Magnolia,epic mosaic valley Drama buena noventas larga PaulThomasAnderson JulianneMoore
Easy Rider,crosscountry trip sell drug prejudice Adventure  Drama buena sesentas corta DennisHopper PeterFonda
Any Given Sunday,star quarterback world game performance aging Drama buena noventas media OliverStone AlPacino
Man on the Moon,comedian andy life career eccentric Comedy  Drama  Romance buena noventas corta MilošForman JimCarrey
Galaxy Quest,alien living rerun help quest overcome oppressive regime scifi convention Comedy  Family  Science Fiction buena noventas corta DeanParisot TimAllen
The Talented Mr. Ripley,dickie tom ripley fake somebody knock form duplicity lie italy Thriller  Crime  Drama buena noventas media AnthonyMinghella MattDamon
The Hurricane,murder people aided fight prove rubin hurricane carter boxer wrongly Drama buena noventas media NormanJewison DenzelWashington
"Girl, Interrupted",world susanna unknown journey alices wonderland psychiatrist realizes normal ultimately Drama buena noventas media JamesMangold WinonaRyder
Papillon,man befriends fellow plot serving sentence dreadful prison island inspires Crime  Drama buena setentas media FranklinJ.Schaffner SteveMcQueen
Malcolm X,leader Drama  History buena noventas larga SpikeLee DenzelWashington
Sister Act,singer limit influence begin helping community protect hitman mother superior Music  Comedy buena noventas corta EmileArdolino WhoopiGoldberg
Sister Act 2: Back in the Habit,school student wasnt van reach unscrupulous local authority chief mr Music  Comedy regular noventas corta BillDuke WhoopiGoldberg
Alive,alive meager ration freezing true story uruguayan rugby team plane Action  Adventure  Drama  Thriller buena noventas media FrankMarshall EthanHawke
Scent of a Woman,family thanksgiving looking retired u army officer lieutenant colonel frank Drama buena noventas media MartinBrest AlPacino
Wayne's World,tv exec offer wayne garth fat contract tape latenight public Music  Comedy buena noventas corta PenelopeSpheeris MikeMyers
A League of Their Own,baseball triumph hit road drunken coach sister dottie kit join Comedy buena noventas media PennyMarshall TomHanks
Patriot Games,analyst jack ryan interferes ira assassination renegade faction target family Drama  Action  Thriller  Crime buena noventas corta PhillipNoyce HarrisonFord
The Bodyguard,secret service agent grudgingly crazed loveaverse tough guy torn duty Thriller  Action  Drama  Music  Romance buena noventas media MickJackson WhitneyHouston
Death Becomes Her,helen madeline ernest magic potion cause deal complicated mere murder Fantasy  Comedy buena noventas corta RobertZemeckis MerylStreep
Twin Peaks: Fire Walk with Me,town agent grisly culprit palmer hang teen girl experiencing dark Drama  Mystery buena noventas media DavidLynch SherylLee
Scream 3,murdering spree begin happen time targeted woodsboro survivor associated movie Horror  Mystery regular dosmil corta WesCraven DavidArquette
The Boondock Saints,obligation act evil twin brother conner murphy set rid boston Action  Thriller  Crime buena noventas corta TroyDuffy WillemDafoe
The Beach,twentysomething richard travel thailand strange map rumour state lead solitary Drama  Adventure  Romance  Thriller buena dosmil corta DannyBoyle LeonardoDiCaprio
Pitch Black,planet riddick dark darkness stay crashlands time total eclipse body count Thriller  Science Fiction  Action buena dosmil corta DavidTwohy VinDiesel
The Whole Nine Yards,mobster named jimmy tulip agrees cooperate fbi investigation order stay Comedy  Crime buena dosmil corta JonathanLynn BruceWillis
City Lights,film success today deemed cult city light directed established love Comedy  Drama  Romance buena treintas corta CharlieChaplin CharlieChaplin
The Kid,charlie chaplin best film kid edna tramp heart ache reunited Comedy  Drama buena veintes corta CharlieChaplin CharlieChaplin
Mission to Mars,contact lost crew fate Science Fiction regular dosmil corta BrianDePalma GarySinise
The Ninth Gate,rare copy book dealer deep world murder doubledealing satanic unscrupulous Horror  Mystery  Thriller buena noventas media RomanPolanski JohnnyDepp
Dog Day Afternoon,man robs bank pay lover operation turn hostage situation medium Crime  Drama  Thriller buena setentas media SidneyLumet AlPacino
JFK,new orleans district attorney jim garrison discovers kennedy assassination official Drama  Thriller  History buena noventas larga OliverStone KevinCostner
Erin Brockovich,twicedivorced mother record describing illness start investigating soon expose monumental Drama buena dosmil media StevenSoderbergh JuliaRoberts
Final Destination,teenager terrifying vision friend dying plane crash prevents accident death Horror buena dosmil corta JamesWong DevonSawa
Thelma & Louise,woman rediscover strength friendship surprising short weekend getaway louise shoot Drama  Thriller  Crime  Adventure buena noventas media RidleyScott SusanSarandon
Animal House,delta tau chi fraternity troublemaker dean vernon wormer determined expel Comedy buena setentas corta JohnLandis JohnBelushi
Double Indemnity,unsuspecting mr dietrichson relentlessly Drama  Mystery  Thriller buena cuarentas corta BillyWilder FredMacMurray
Teenage Mutant Ninja Turtles,criminal gang mutated humanoid turtle Science Fiction  Action  Adventure  Comedy  Family buena noventas corta SteveBarron JudithHoag
Bloodsport,dux kumite illegal underground martialarts unknown chong li particularly ruthless Action buena ochentas corta NewtArnold Jean-ClaudeVanDamme
"Good Morning, Vietnam",cronauer cronauers dickerson war soldier girl named bring little funny man Comedy  Drama  War buena ochentas media BarryLevinson RobinWilliams
Modern Times,woman Drama  Comedy buena treintas corta CharlieChaplin CharlieChaplin
Close Encounters of the Third Kind,encounter ufo line worker feel undeniably drawn isolated area wilderness Science Fiction  Drama buena setentas media StevenSpielberg RichardDreyfuss
Jacob's Ladder,traumatized vietnam war veteran life isnt horned creature subway son Drama  Mystery  Horror buena noventas corta AdrianLyne TimRobbins
High Fidelity,store owner rob win girlfriend laura time attempt figure went Comedy  Drama  Romance  Music buena dosmil corta StephenFrears JohnCusack
The Road to El Dorado,failed swindle city end map el dorado unintended trip new Adventure  Animation  Comedy  Family buena dosmil corta DonMichaelPaul KennethBranagh
Hook,boy wasnt supposed grow uppeter pandid familyoriented fantasy director steven Adventure  Fantasy  Comedy  Family buena noventas media StevenSpielberg RobinWilliams
Misery,paul drugged annie wilkes car snowy colorado unstable misery chastaine Drama  Thriller buena noventas corta RobReiner JamesCaan
Solaris,strange resident solaris author stanislaw control darkest recess consciousness based Drama  Science Fiction  Adventure  Mystery buena setentas media AndreiTarkovsky DonatasBanionis
Network,tv network cynically exploit deranged extv anchor raving revelation medium Drama buena setentas media SidneyLumet FayeDunaway
Frequency,rare phenomenon fix consequence altering sullivan chance speak father year Crime  Drama  Science Fiction  Thriller buena dosmil corta GregoryHoblit DennisQuaid
Predator,group commando hired cia rescue downed airman guerilla central american Science Fiction  Action  Adventure  Thriller buena ochentas corta JohnMcTiernan ArnoldSchwarzenegger
American Psycho,friend escalates deeper illogical gratuitous new york investment banking executive Thriller  Drama  Crime buena dosmil corta MaryHarron ChristianBale
Caddyshack,caddy smails country club job lumber yard order favour elitist Comedy buena ochentas corta HaroldRamis ChevyChase
The Virgin Suicides,group male friend sister sheltered Drama  Romance buena noventas corta SofiaCoppola JamesWoods
Gladiator,maximus commodus men skill avenge death battle roman gladiator marcus Action  Drama  Adventure buena dosmil media RidleyScott RussellCrowe
Dinosaur,sancturary meteorite shower destroys family dinosaur raised lemur join arduous Animation  Family buena dosmil corta RalphZondag D.B.Sweeney
Road Trip,mile road trip retrieve illicit tape mistakenly mailed girl friend Comedy  Adventure regular dosmil corta ToddPhillips BreckinMeyer
Mission: Impossible II,genius luther stickell australia spain stop hunt agent choose mission Adventure  Action  Thriller buena dosmil media JohnWoo TomCruise
Shanghai Noon,wang princess captor nevada team unlikely partner outcast outlaw roy Adventure  Action  Comedy  Western buena dosmil corta TomDey JackieChan
On Her Majesty's Secret Service,bond blofeld mountaintop army beautiful lethal draco marries classic ski Adventure  Action  Thriller buena sesentas media PeterR.Hunt GeorgeLazenby
The Spy Who Loved Me,russian british submarine nuclear missile board vanish sight england russia Adventure  Action  Thriller buena setentas media LewisGilbert RogerMoore
Moonraker,space shuttle crash atlantic hugo drax want kill destroyed missing Action  Adventure  Thriller  Science Fiction regular setentas media LewisGilbert RogerMoore
The Man with the Golden Gun,bullet target james bond begin mission try came professional killer Adventure  Action  Thriller buena setentas media GuyHamilton RogerMoore
Big Momma's House,fbi agent sent georgia protect known big momma order remain Crime  Comedy regular dosmil corta RajaGosnell MartinLawrence
Blazing Saddles,sheriff town hedley sends send johnson way railroad order grab connected Western  Comedy buena setentas corta MelBrooks CleavonLittle
Eraserhead,unbearable scream newly born mutant spencer try survive industrial environment Drama  Fantasy  Horror  Science Fiction buena setentas corta DavidLynch JackNance
For a Few Dollars More,bounty hunter pursuit el indio gang Western buena sesentas media SergioLeone ClintEastwood
Flatliners,medical student want cast heart second death plan Drama  Horror  Science Fiction  Thriller buena noventas corta JoelSchumacher KieferSutherland
Predator 2,year band mercenary invisible creature mysterious vicious agent stay ignoring Science Fiction  Action  Thriller buena noventas corta StephenHopkins KevinPeterHall
The Running Man,global economy collapsed american society police state censoring cultural activity Action  Science Fiction buena ochentas corta PaulMichaelGlaser ArnoldSchwarzenegger
Mad Max,future australia vicious biker gang murder cop family make fight Adventure  Action  Thriller  Science Fiction buena setentas corta GeorgeMiller MelGibson
Mad Max 2: The Road Warrior,defendant fueldepot encampment bizarre warrior commanded charismatic lord humungus violent Adventure  Action  Thriller  Science Fiction buena ochentas corta GeorgeMiller MelGibson
Mad Max Beyond Thunderdome,mad max child pawn decadent oasis technological society Action  Adventure  Science Fiction buena ochentas corta GeorgeMiller MelGibson
Gone in Sixty Seconds,randall car save brother kip come retirement boost happy pal Action  Crime  Thriller buena dosmil corta DominicSena NicolasCage
The Conversation,caul couple expert resulting tape trying record cryptic conversation williams Crime  Drama  Mystery buena setentas corta FrancisFordCoppola GeneHackman
Serpico,city cop struggle honest new Crime  Drama  History buena setentas media SidneyLumet AlPacino
Big Trouble in Little China,trucker jack burton agreed wang wangs fiancee lo green eye perfect Action  Adventure  Comedy  Fantasy buena ochentas corta JohnCarpenter KurtRussell
Chicken Run,chicken farm rocky ginger repressed facing eventual certain death escape Animation  Comedy  Family buena dosmil corta NickPark MelGibson
"Me, Myself & Irene",personality island state trooper charlie crazy aggressive friendly loses woman Comedy buena dosmil corta BobbyFarrelly JimCarrey
The Patriot,life benjamin martin son preferring field battle french indian new Drama  History  War  Action buena dosmil media RolandEmmerich MelGibson
The Perfect Storm,boat storm drama confluence weather gail magnificent foreshadowing juxtaposed sea Drama buena dosmil media WolfgangPetersen GeorgeClooney
Scary Movie,elizabeth carmen electra pitch skewer hollywood biggest blockbuster including scream Comedy buena dosmil corta KeenenIvoryWayans CarmenElectra
Footloose,teenager ren family bigcity chicago small town west case culture Drama  Family  Music  Romance buena ochentas corta HerbertRoss KevinBacon
X-Men,mutant rogue wolverine come private academy kind resident superhero team Adventure  Action  Science Fiction buena dosmil corta BryanSinger PatrickStewart
What Lies Beneath,trying try claire investigates discovers man hearing ghostly voice seeing spooky Drama  Horror  Mystery  Thriller buena dosmil media RobertZemeckis HarrisonFord
Coyote Ugly,velvet voice yearold violet sanford head new york pursue dream Comedy  Drama  Music  Romance regular dosmil corta DavidMcNally PiperPerabo
Hollow Man,make caine caines terrifying formula test soon begin vanish creature researcher Action  Science Fiction  Thriller regular dosmil corta PaulVerhoeven KevinBacon
Space Cowboys,orbit threatens crash corvin hawk hawkins jerry oneill tank sullivan Action  Adventure  Thriller buena dosmil media ClintEastwood ClintEastwood
The Cell,victim Horror  Science Fiction  Thriller buena dosmil corta TarsemSingh JenniferLopez
The Naked Gun: From the Files of Police Squad!,incompetent officer frank drebin seek ruthless killer partner stumble queen Comedy  Crime buena ochentas corta DavidZucker LeslieNielsen
The Naked Gun 2½: The Smell of Fear,cop frank drebin foil big boy energy industry intend suppress Comedy  Crime buena noventas corta DavidZucker LeslieNielsen
Bring It On,routine toro toros total cheer turn discovers fact school san diego Comedy regular dosmil corta PeytonReed KirstenDunst
Almost Famous,rock autobiographical inspired film disappointment life hired rolling stone magazine Drama  Music buena dosmil media CameronCrowe KateHudson
Dancer in the Dark,operation life selma czech immigrant learns cope love musical escaping Drama  Crime  Music buena dosmil media LarsvonTrier Björk
Remember the Titans,leading football team winning season coach different difference men hostile young Drama buena dosmil corta BoazYakin DenzelWashington
Hellraiser,larry wife julia old house discover hideous creature man halfbrother Horror buena ochentas corta CliveBarker AndrewRobinson
Meet the Parents,pam pams agent jack byrnes greg formidable father hawklike hilarious series Comedy  Romance buena dosmil corta JayRoach BenStiller
Requiem for a Dream,hope dream shattered drug addiction begin body look Crime  Drama buena dosmil corta DarrenAronofsky EllenBurstyn
Billy Elliot,set year old boy stumble boxing miner strike billy elliot Drama  Comedy  Music buena dosmil corta StephenDaldry JamieBell
Bedazzled,twist wish turn basketball star seductive satan richardson suicidal techno Fantasy  Comedy  Romance regular dosmil corta HaroldRamis ElizabethHurley
Pay It Forward,kid trevor mckinney believed goodness human nature change world better Drama  Romance buena dosmil media MimiLeder KevinSpacey
Charlie's Angels,hit tv series similar original dylan natalie hair stop traffic Action  Adventure  Comedy  Crime  Thriller regular dosmil corta McG CameronDiaz
Little Nicky,lord darkness decides cede thrown earth hell weak beloved son Comedy  Fantasy  Romance regular dosmil corta StevenBrill AdamSandler
Men of Honor,"set setting master diver odds oldschool respect triumph ultimately conspires bring Drama buena dosmil media GeorgeTillman,Jr. RobertDeNiro"
Diamonds Are Forever,bond smuggling mission stolen sold international market meet archenemy vega Adventure  Action  Thriller buena setentas media GuyHamilton SeanConnery
The 6th Day,futuristic action man meet clone stumble grand conspiracy world Science Fiction regular dosmil media RogerSpottiswoode ArnoldSchwarzenegger
How the Grinch Stole Christmas,christmas whoville sort munchkinlike child cindy snowflake plot steal grinch Family  Comedy  Fantasy buena dosmil corta RonHoward JimCarrey
Unbreakable,man mystery mysterious disease render bone fragile accident leaf fellow passenger Science Fiction  Thriller  Drama buena dosmil corta M.NightShyamalan BruceWillis
"Crouching Tiger, Hidden Dragon",physicallyskilled teenage nobleman daughter crossroad pursuit stolen sword notorious fugitive Adventure  Drama  Action  Romance buena dosmil media AngLee ChowYun-fat
"Planes, Trains and Automobiles",companion Comedy buena ochentas corta JohnHughes SteveMartin
The Living Daylights,general escape west bond help want kill helping secret service leading Action  Adventure  Thriller buena ochentas media JohnGlen TimothyDalton
Wall Street,young impatient stockbroker willing wing greedy corporate taken inside Crime  Drama buena ochentas media OliverStone CharlieSheen
Born on the Fourth of July,biography ron kovic paralyzed vietnam war activist feeling betrayed country Drama  War buena ochentas media OliverStone TomCruise
Snatch,film psychotic obscure story stolen diamond boxing crazy charactercolliding lock Thriller  Crime buena dosmil corta GuyRitchie BeniciodelToro
Chocolat,chocolate mother french town emotional float river prejudice mayor lead Comedy  Drama  Romance buena dosmil media LasseHallström JulietteBinoche
"Dude, Where’s My Car?",jesse chester bumbling stoner wake world night partying Comedy regular dosmil corta DannyLeiner AshtonKutcher
The Emperor's New Groove,kuzco kuzcos pacha home destroyed accidentally destroy house form unlikely yzma try Adventure  Animation  Comedy  Family  Fantasy buena dosmil corta MarkDindal DavidSpade
What Women Want,hear woman executive nick talent work darcy new promotion accident Comedy  Romance buena dosmil media NancyMeyers HelenHunt
Cast Away,wash tiny jetsam aircraft chuck manager terrible student love plane Adventure  Drama buena dosmil media RobertZemeckis TomHanks
The Family Man,career stumble wake bed lifestyle college disarms longer woman highpower Comedy  Drama  Romance  Fantasy buena dosmil media BrettRatner NicolasCage
Miss Congeniality,fbi office contestant new citizen quickly miss america beauty shes Comedy  Crime  Action buena dosmil corta DonaldPetrie SandraBullock
"O Brother, Where Art Thou?",deep south character incredible situation convict search hidden treasure relentless Action  Adventure  Comedy buena dosmil corta JoelCoen GeorgeClooney
Traffic,war drug discovers welleducated daughter abusing luxurious husband suburban united Thriller  Drama  Crime buena dosmil media StevenSoderbergh MichaelDouglas
Save the Last Dance,white midwestern girl new boyfriend black teen past Drama  Family  Romance  Music buena dosmil corta ThomasCarter JuliaStiles
The Wedding Planner,wedding steve mary uncomfortable situation force face mutual latest client Comedy regular dosmil corta AdamShankman JenniferLopez
Beverly Hills Cop II,axels cop axel sunshine palm heartless weapon kingpin police captain andrew Action  Comedy  Crime buena ochentas corta TonyScott EddieMurphy
Beverly Hills Cop,axel los angeles detroit friend murder soon bungling rookie detective Action  Comedy  Crime buena ochentas corta MartinBrest EddieMurphy
Empire of the Sun,jamie camp parent hostile youthful spirit providing beacon captive Drama  History  War buena ochentas media StevenSpielberg ChristianBale
The Evil Dead,group college student book recording old wilderness cabin rented unwittingly Horror buena ochentas corta SamRaimi BruceCampbell
The Lost Boys,teenage bike gang vampire couple nice quiet small coastal california Horror  Comedy buena ochentas corta JoelSchumacher JasonPatric
In the Mood for Love,melancholy story love woman man live building husband wife affair Drama  Romance buena dosmil corta WongKar-wai TonyLeungChiu-Wai
Hannibal,hannibal peacefully life italy disguise art scholar trouble eluded authority Crime  Drama  Thriller  Horror buena dosmil media RidleyScott AnthonyHopkins
The Mexican,samantha jerry mob better permanent alternative head south reluctant bagman Action  Comedy  Crime  Romance regular dosmil media GoreVerbinski BradPitt
Enemy at the Gates,gate war film jeanjacques ii russian place battle stalingard world War buena dosmil media Jean-JacquesAnnaud JudeLaw
Memento,shelby memory body desperate bid contextual aid murdered wife grim Mystery  Thriller buena dosmil corta ChristopherNolan GuyPearce
Spy Kids,cortez juni colleague family agent respective country life raise child Action  Comedy  Family  Adventure regular dosmil corta RobertRodriguez AlexaPenaVega
Amores perros,turned hit man rescue gunshot people mexico city catapulted dramatic Drama  Thriller buena dosmil media AlejandroGonzálezIñárritu GaelGarcíaBernal
Along Came a Spider,alex jezzie kidnaps girl brutal team young kidnapper spider count Crime  Mystery  Thriller  Action buena dosmil corta LeeTamahori MorganFreeman
Blow,george cocaine result pay make family hit deal marijuana bringing Crime  Drama buena dosmil media TedDemme JohnnyDepp
Bridget Jones's Diary,imperfection Comedy  Romance  Drama buena dosmil corta SharonMaguire RenéeZellweger
Scarface,drug tony eventually eventual miami viciously green card exchange assassinating way Action  Crime  Drama  Thriller buena ochentas media BrianDePalma AlPacino
The Mummy Returns,rick evelyn oconnell alex discover key legendary scorpion kidnapping new Adventure  Action  Fantasy buena dosmil media StephenSommers BrendanFraser
A Knight's Tale,hector assumes sir thatcher peasant sent apprentice von urged father Adventure  Drama  Romance  Action buena dosmil media BrianHelgeland HeathLedger
Shrek,shrek unlikely compatriot wisecracking easy bein green especially youre likable Adventure  Animation  Comedy  Family  Fantasy buena dosmil corta AndrewAdamson MikeMyers
Moulin Rouge!,celebration love creative inspiration infamous passionate affair club notorious beautiful Drama  Music  Romance buena dosmil media BazLuhrmann NicoleKidman
Pearl Harbor,lifelong friendship rafe mccawley danny walker ultimate test fighter attack History  Romance  War buena dosmil larga MichaelBay BenAffleck
The Magnificent Seven,home Western buena sesentas media JohnSturges YulBrynner
Evolution,alien life earth follows chaos meaning term survival news world Action  Comedy  Science Fiction regular dosmil corta IvanReitman DavidDuchovny
Swordfish,rogue agent gabriel shear determined necessary hack government mainframe expert Action  Crime  Thriller buena dosmil corta DominicSena JohnTravolta
Point Break,surfer gang bank town los commit crime wearing mask gather Action  Thriller  Crime buena noventas media KathrynBigelow PatrickSwayze
Tootsie,dorseys michael dorsey costar costars woman role female inspiring break free control Comedy  Romance buena ochentas corta SydneyPollack DustinHoffman
